assembly_index,nonlinearity_strength,measurement_noise_mm,method,final_quality
140,0.0,0.0,ZERO,1.4917637731233073
140,0.0,0.0,LSQ,0.5043835159231088
140,0.0,0.0,LOCKED_HYBRID,0.3885811796789324
141,0.0,0.0,ZERO,2.813662871213417
141,0.0,0.0,LSQ,0.6651842322357228
141,0.0,0.0,LOCKED_HYBRID,0.5729474589121245
142,0.0,0.0,ZERO,2.6450552909797502
142,0.0,0.0,LSQ,0.42425342679965794
142,0.0,0.0,LOCKED_HYBRID,0.37275009491753225
143,0.0,0.0,ZERO,2.1105300361096813
143,0.0,0.0,LSQ,0.1394135182556056
143,0.0,0.0,LOCKED_HYBRID,0.1693782026894632
144,0.0,0.0,ZERO,0.8860862040770975
144,0.0,0.0,LSQ,0.13054936236208958
144,0.0,0.0,LOCKED_HYBRID,0.1580381265041888
145,0.0,0.0,ZERO,1.03049240411579
145,0.0,0.0,LSQ,0.46684137549150945
145,0.0,0.0,LOCKED_HYBRID,0.3847737535938297
146,0.0,0.0,ZERO,0.5881514756729764
146,0.0,0.0,LSQ,0.4043871783509507
146,0.0,0.0,LOCKED_HYBRID,0.3428427147328302
147,0.0,0.0,ZERO,0.8235038828376948
147,0.0,0.0,LSQ,0.1835754730945475
147,0.0,0.0,LOCKED_HYBRID,0.22474736793452815
148,0.0,0.0,ZERO,1.9966347096046217
148,0.0,0.0,LSQ,0.4621402107945057
148,0.0,0.0,LOCKED_HYBRID,0.39220373387505725
149,0.0,0.0,ZERO,4.424001998966092
149,0.0,0.0,LSQ,0.6230142535190708
149,0.0,0.0,LOCKED_HYBRID,0.5504259041901284
150,0.0,0.0,ZERO,2.8675060735579905
150,0.0,0.0,LSQ,0.852122740072683
150,0.0,0.0,LOCKED_HYBRID,0.7509707056786807
1,0.0,0.01,ZERO,1.5342477805167538
1,0.0,0.01,LSQ,0.0766989883301516
1,0.0,0.01,LOCKED_HYBRID,0.1158239852187514
2,0.0,0.01,ZERO,1.3284158434111055
2,0.0,0.01,LSQ,0.2822817030409189
2,0.0,0.01,LOCKED_HYBRID,0.2687231151311256
3,0.0,0.01,ZERO,2.5917702492582455
3,0.0,0.01,LSQ,0.16840640003132337
3,0.0,0.01,LOCKED_HYBRID,0.18983730585662656
4,0.0,0.01,ZERO,1.5409505885437198
4,0.0,0.01,LSQ,0.31983454325536487
4,0.0,0.01,LOCKED_HYBRID,0.3165042804233409
5,0.0,0.01,ZERO,2.318380693796794
5,0.0,0.01,LSQ,0.11335588476386035
5,0.0,0.01,LOCKED_HYBRID,0.11179412811208166
6,0.0,0.01,ZERO,0.9943972574791287
6,0.0,0.01,LSQ,1.0148114454804757
6,0.0,0.01,LOCKED_HYBRID,0.8680275815137515
7,0.0,0.01,ZERO,1.869381604659369
7,0.0,0.01,LSQ,0.34042201153803714
7,0.0,0.01,LOCKED_HYBRID,0.2777360949008902
8,0.0,0.01,ZERO,2.2315627758934418
8,0.0,0.01,LSQ,0.9482148455332231
8,0.0,0.01,LOCKED_HYBRID,0.7852584623040494
9,0.0,0.01,ZERO,1.1530119126597849
9,0.0,0.01,LSQ,0.4254863616114419
9,0.0,0.01,LOCKED_HYBRID,0.3518908256738096
10,0.0,0.01,ZERO,1.4221495252781753
10,0.0,0.01,LSQ,0.7460289826464175
10,0.0,0.01,LOCKED_HYBRID,0.5932675962233824
11,0.0,0.01,ZERO,2.2276467862574005
11,0.0,0.01,LSQ,0.33985800121778714
11,0.0,0.01,LOCKED_HYBRID,0.2828347692774065
12,0.0,0.01,ZERO,2.0305347781646526
12,0.0,0.01,LSQ,0.46631335217712944
