assembly_id,batch_condition,component_index,severity,scenario_type,predicted_quality,actual_quality,prediction_absolute_error,true_best_of_20_quality,absolute_regret,exact_best_hit,top3_hit,selected_true_rank,selected_beats_zero,best_was_structured_initial,z_adj,theta_adj,locator_offset,correction_utilization,capability_penalty,mean_gap,max_gap,parallelism,rms
655,fixture_drift,2,medium,mixed,0.14146857340109859,0.1325863993367061,0.008882174064392484,0.1325863993367061,0.0,True,True,1,True,True,-0.029967605119317824,-0.004694155437009498,-0.2512163072405328,0.2512163072405328,0.0008435816580015278,0.13258698607193836,0.2569369058532507,1.3877787807814457e-17,0.15729231759149398
655,fixture_drift,3,high,offset,0.15137156732779403,0.1270273442239628,0.02434422310383122,0.1270273442239628,0.0,True,True,1,True,True,0.7819802503720066,3.975693351829396e-19,-0.24611781525157528,0.31279210014880265,0.0021121716919960953,0.12388645705097998,0.25049976092974424,0.0,0.14711478829745547
655,fixture_drift,4,low,mixed,0.20588236534161247,0.17363982108011733,0.03224254426149514,0.17363982108011733,0.0,True,True,1,True,True,-0.21892069218970045,0.0111813328310607,-0.2512163072405328,0.2512163072405328,0.0009448620948466202,0.16648825380963547,0.3469477426193959,2.7755575615628914e-17,0.19609022151407912
655,fixture_drift,5,medium,mixed,0.22770170298453843,0.17113207322040142,0.056569629764137014,0.17113207322040142,0.0,True,True,1,True,True,0.09838281728130226,-0.0270125481251222,-0.16282148095539628,0.16282148095539628,0.0003808829856311678,0.16108660895826266,0.34568198011238244,8.326672684688674e-17,0.19101496499207865
732,high_variation,1,high,bend,0.13788904757028078,0.13788904757028128,4.996003610813204e-16,0.1312646230138717,0.006624424556409575,False,True,2,False,True,0.0,0.0,0.0,0.0,0.0,0.15534594386731732,0.246477278666448,3.018476103814158e-17,0.17342080810151675
732,high_variation,2,high,mixed,0.27340191340766345,0.2682901465813416,0.005111766826321862,0.137129046130785,0.1311611004505566,False,True,2,True,True,-0.28047071661972295,-8.647297065482188e-19,-0.0802667115721209,0.11218828664788918,0.00025371942196788003,0.25294187237708265,0.5430942489229013,2.7755575615628914e-17,0.29479310191346414
732,high_variation,3,high,mixed,0.3308229953527305,0.256548948755989,0.07427404659674153,0.17817025814008242,0.07837869061590658,False,False,5,True,False,-0.2049403677325019,-0.01053592139577314,-0.45,0.45,0.0027906290125596775,0.16532409352401017,0.494897300565958,0.12806160354035084,0.2006404946689332
732,high_variation,4,extreme,bend,0.34717664760213707,0.31012424990004456,0.03705239770209251,0.31012424990004456,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.28040643483267075,0.5200160081067104,0.1280616035403509,0.31579035956124923
732,high_variation,5,medium,mixed,0.39183683566965094,0.3677481117791443,0.024088723890506647,0.30529138842562153,0.06245672335352276,False,True,2,True,True,-0.45461075139896157,0.04460006008271708,-0.09731218958746267,0.18184430055958462,0.0005855783562828662,0.2286997146465442,0.7062079772522645,0.19609427705527605,0.28447521092918887
735,high_variation,1,high,waviness,0.06542066529249284,0.06542066529249314,3.0531133177191805e-16,0.06542066529249314,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.07369094717127729,0.1169494811949503,8.593308468440367e-17,0.08228536782624847
735,high_variation,2,high,mixed,0.19936523275863774,0.19854549572018837,0.0008197370384493696,0.1940188873622703,0.004526608357918072,False,True,2,True,True,0.6140001562283278,-0.005305252480480698,-0.0,0.24560006249133112,0.0008045191509792179,0.18577075068033075,0.40370662429403065,1.1102230246251565e-16,0.21702283227879915
735,high_variation,3,high,tilt,0.15275168659957847,0.148574355588415,0.004177331011163465,0.148574355588415,0.0,True,True,1,True,True,-0.08803278215323593,-0.021083074119435698,-0.0,0.035213112861294374,2.0648548068111734e-05,0.12809629346638518,0.3156738421407947,2.7755575615628914e-17,0.15443314906261058
735,high_variation,4,medium,offset,0.14262720566713208,0.12824517327933602,0.014382032387796062,0.12569639154891682,0.0025487817304191973,False,True,2,False,True,0.07398631663870103,7.951386703658792e-19,-0.0,0.029594526655480412,1.1677813439492544e-05,0.11105882587495561,0.2716574510641767,0.0,0.1343029019759632
735,high_variation,5,high,mixed,0.26593893822831105,0.2815857082470591,0.015646770018748035,0.25111541332464926,0.030470294922409824,False,True,3,True,True,-0.022008195538308985,0.0015854618164992,-0.0,0.008803278215323593,1.0565776642220362e-06,0.23934921169170326,0.6024743253090034,5.551115123125783e-17,0.29038647146847146
757,high_variation,1,high,mixed,0.056855999822901813,0.056855999822901834,2.0816681711721685e-17,0.056855999822901834,0.0,True,True,1,False,True,0.0,0.0,0.0,0.0,0.0,0.04858091243093634,0.1201862909895391,2.090138224840086e-17,0.06225838796759194
757,high_variation,2,high,tilt,0.05169887725360029,0.05168926051536785,9.616738232437472e-06,0.05168926051536785,0.0,True,True,1,True,True,-0.014965472417030203,-0.0027985148777015995,-0.0,0.005986188966812081,5.503083846250766e-07,0.048208133600973646,0.1052208185725089,1.734723475976807e-17,0.056605748633230896
757,high_variation,3,extreme,twist,0.049850484519286566,0.04993021243003272,7.972791074615376e-05,0.04993021243003272,0.0,True,True,1,True,True,-0.0074827362085150995,4.969616689786745e-19,-0.0,0.00299309448340604,1.1944819448794226e-07,0.04997927320006094,0.0977380823639938,1.0408340855860843e-17,0.05615005760816302
