sequence_length,assembly_index,component_index,lsq_quality,hybrid_quality,hybrid_minus_lsq
5,52,5,0.3974339723399028,0.32495913534606036,-0.07247483699384244
5,53,1,0.2508569981715807,0.2198539044461879,-0.031003093725392783
5,53,2,0.28257444380729985,0.19058700134182385,-0.091987442465476
5,53,3,0.17701332397159902,0.13786102397956426,-0.03915229999203476
5,53,4,0.22629103894353167,0.15782306651956468,-0.06846797242396699
5,53,5,0.3470867253425442,0.27379653385989533,-0.07329019148264887
5,54,1,0.18554638166716875,0.152159854056147,-0.03338652761102176
5,54,2,0.1323041772151627,0.07104246704258733,-0.061261710172575354
5,54,3,0.1573896797076224,0.10650086573263479,-0.05088881397498762
5,54,4,0.3794442398687098,0.28020149394771526,-0.09924274592099452
5,54,5,0.3791080482001992,0.30460331195950197,-0.07450473624069726
5,55,1,0.11201914468519436,0.09880040579147659,-0.013218738893717774
5,55,2,0.2818689030499928,0.25741668695009595,-0.02445221609989684
5,55,3,0.29549987692992485,0.2882170595772941,-0.007282817352630755
5,55,4,0.3274094364104304,0.2875367501395871,-0.03987268627084328
5,55,5,0.18103790624895535,0.15891868683979102,-0.022119219409164337
5,56,1,0.26847677865798947,0.1966362398211007,-0.07184053883688876
5,56,2,0.17113006125959127,0.15449226844497427,-0.016637792814616997
5,56,3,0.4035055280118997,0.3065750941370327,-0.096930433874867
5,56,4,0.3127121975819298,0.2854926897802961,-0.02721950780163368
5,56,5,0.39947961905537,0.3012957122108599,-0.09818390684451012
5,57,1,0.19578434674620018,0.1952654045000651,-0.000518942246135079
5,57,2,0.12590859677992824,0.12158614728459494,-0.004322449495333308
5,57,3,0.36833613535735715,0.3116728559967164,-0.05666327936064075
5,57,4,0.6273481451640991,0.4815381841091988,-0.1458099610549003
5,57,5,0.5815683404970408,0.49229688634041,-0.08927145415663074
5,58,1,0.16878556029036546,0.10554748782622406,-0.0632380724641414
5,58,2,0.18378522085382004,0.15011051623375501,-0.03367470462006503
5,58,3,0.339804304160588,0.2764791857725912,-0.06332511838799681
5,58,4,0.5409444237064247,0.44498965144468383,-0.09595477226174087
5,58,5,0.31323300073942867,0.29670315228831357,-0.016529848451115103
5,59,1,0.16260740738493523,0.16151574630837687,-0.0010916610765583645
5,59,2,0.11887343733434806,0.09142878940592043,-0.02744464792842763
5,59,3,0.1047905149980634,0.09882558930454247,-0.005964925693520931
5,59,4,0.12659592286609364,0.10099952860843385,-0.02559639425765979
5,59,5,0.24946930906826004,0.21620580515794324,-0.033263503910316794
5,60,1,0.20552158621767794,0.14788160192311087,-0.05763998429456707
5,60,2,0.23069657848454825,0.14423182921431515,-0.0864647492702331
5,60,3,0.2867495964562804,0.2291924648817532,-0.05755713157452719
5,60,4,0.20275857614912357,0.1619663431613887,-0.04079223298773488
5,60,5,0.09762299409569154,0.0956540818308004,-0.00196891226489114
5,61,1,0.1087139360190976,0.09431672766429806,-0.014397208354799532
5,61,2,0.12313503453666756,0.11062762469320249,-0.012507409843465073
5,61,3,0.2373042711650924,0.1888690328183477,-0.04843523834674471
5,61,4,0.14322421398606253,0.14496344990058116,0.0017392359145186331
5,61,5,0.2921775619645355,0.20204058720509618,-0.0901369747594393
5,62,1,0.18071278819229636,0.1449192082432289,-0.035793579949067456
5,62,2,0.3806156865393343,0.34749270975341,-0.033122976785924296
5,62,3,0.20894152266427857,0.1753809996016241,-0.033560523062654474
5,62,4,0.34842235883940653,0.3089268167522879,-0.03949554208711864
5,62,5,0.528896869680135,0.43546506549438246,-0.09343180418575259
5,63,1,0.10654306347101358,0.06112063169125396,-0.045422431779759624
5,63,2,0.20088769043602325,0.1745739944638102,-0.026313695972213058
5,63,3,0.0864799406044942,0.07800064724955143,-0.008479293354942768
5,63,4,0.12987498311811502,0.09622730522875261,-0.033647677889362404
5,63,5,0.2092134198236085,0.11925178214218057,-0.08996163768142793
5,64,1,0.2547104878874285,0.2192474880693107,-0.03546299981811782
5,64,2,0.06526267151897873,0.04902205663043692,-0.01624061488854181
5,64,3,0.07632368758633662,0.07433591027228115,-0.001987777314055472
5,64,4,0.1376674426124713,0.10916599370551479,-0.02850144890695651
5,64,5,0.1432498184462838,0.14236802336553164,-0.0008817950807521457
5,65,1,0.10319787817500528,0.054856583139263296,-0.048341295035741985
5,65,2,0.2182060313640459,0.1754236808630054,-0.04278235050104051
5,65,3,0.347528848002764,0.3151045016144765,-0.032424346388287506
5,65,4,0.43609694435065527,0.3873333229010391,-0.04876362144961616
5,65,5,0.6160608366106775,0.5212851296880695,-0.09477570692260795
5,66,1,0.20337151128535508,0.16096349403339738,-0.0424080172519577
5,66,2,0.1332844804887989,0.07673289093000114,-0.05655158955879776
5,66,3,0.16152612424451318,0.11812225654542144,-0.04340386769909174
